Name,CASHWMaxSAT-DisjCom-S6,CASHWMaxSAT-DisjCom-S9,UWrMaxSat-SCIP,EvalMaxSAT,CASHWMaxSAT-DisjCad-S6,CASHWMaxSAT-DisjCad-S9,EvalMaxSAT-SBVA,EvalMaxSAT-SBVA-saveCores,wmaxcdcl-openwbo1200,cgss_default,cgss_abst_cg,wmaxcdcl,Pacose,PacoseMP2,Exact,VBS
ramsey_wt-ram_k3_n11.ra1.wcnf,1305.53,838.268,53.9539,570.739,782.433,663.859,612.606,585.634,1258.71,FAILED,FAILED,60.2908,38.4994,44.7332,101.491,38.4994
ramsey_wt-ram_k3_n12.ra1.wcnf,FAILED,FAILED,187.501,812.045,1888.01,2139.83,875.514,865.598,1334.83,FAILED,FAILED,225.975,1578.37,880.225,1522.35,187.501
ramsey_wt-ram_k3_n17.ra1.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
ramsey_wt-ram_k3_n18.ra1.wcnf,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED
relational-inference_wt-ar-1.wcnf,3.4474,3.454,3.913,184.315,5.489,5.4735,187.161,187.204,1200.7,109.81,143.776,0.7479,FAILED,4.7227,139.584,0.7479
relational-inference_wt-ar-2.wcnf,2687.26,2748.37,2668.84,2003.28,FAILED,FAILED,2067.23,1993.18,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1993.18
relational-inference_wt-ar-3.wcnf,1.3035,1.3065,6.6538,185.848,1.7995,1.7974,202.311,201.21,144.936,244.695,303.955,0.3337,FAILED,4.0463,14.4321,0.3337
relational-inference_wt-pa-1.wcnf,826.709,858.781,1212.41,1022.37,1517.49,1519.4,1038.09,1050.33,33.7133,FAILED,FAILED,1406.31,FAILED,FAILED,FAILED,33.7133
relational-inference_wt-pa-2.wcnf,1333.11,1795.94,FAILED,1353.79,1548.18,1549.64,1383.42,1413.08,555.14,FAILED,FAILED,1784.46,FAILED,FAILED,FAILED,555.14
relational-inference_wt-pa-3.wcnf,2778.08,2487.12,FAILED,2608.41,FAILED,FAILED,1925.5,3054.05,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,FAILED,1925.5
relational-inference_wt-rc-2.wcnf,59.0407,62.3422,10.8754,663.031,1356.22,1355.04,247.567,250.138,410.419,276.865,274.086,FAILED,FAILED,174.861,FAILED,10.8754
relational-inference_wt-rc-3.wcnf,59.131,60.0363,11.0518,650.294,1319.44,1319.41,246.639,247.281,370.046,267.378,282.273,FAILED,FAILED,1734.24,FAILED,11.0518
rna-alignment_wt-k100-13-40.rna.pre.wcnf,27.8217,30.1737,27.3551,682.155,FAILED,FAILED,849.986,849.322,1299.59,4.9117,3.8988,96.58,595.662,678.319,FAILED,3.8988
rna-alignment_wt-k100-14-38.rna.pre.wcnf,33.9879,33.9816,35.2865,654.217,2969.9,2982.13,848.553,832.651,1278.54,1.9731,2.0626,63.9648,511.473,327.329,FAILED,1.9731
rna-alignment_wt-k100-33-71.rna.pre.wcnf,33.4891,33.3475,30.1717,670.337,FAILED,FAILED,844.295,1043.09,1283.46,2.557,2.3669,62.0334,379.772,348.021,FAILED,2.3669
rna-alignment_wt-k100-40-52.rna.pre.wcnf,38.7348,36.2446,39.1876,686.134,3518.21,3496.86,856.677,860.529,1274.51,2.8699,2.905,68.5597,354.047,420.688,FAILED,2.8699
rna-alignment_wt-k100-44-65.rna.pre.wcnf,28.2622,30.4264,28.5242,670.56,FAILED,FAILED,843.355,853.622,1273.69,3.2964,3.2676,60.2091,360.54,384.122,FAILED,3.2676
rna-alignment_wt-k50-22-58.rna.pre.wcnf,51.3545,51.4368,0.6206,101.305,104.553,104.505,66.6054,65.7132,138.283,0.1235,0.1266,5.1802,4.0309,35.1285,256.021,0.1235
rna-alignment_wt-k50-37-46.rna.pre.wcnf,100.837,92.6508,0.7429,123.063,120.905,120.733,89.9756,96.2021,110.98,0.1446,0.1401,4.7389,4.9196,44.4436,91.4374,0.1401
rna-alignment_wt-random-dif-12.rna.pre.wcnf,75.2084,75.5064,0.3405,120.898,224.74,225.146,103.089,103.047,157.259,0.0699,0.0694,4.3433,4.3019,9.0271,408.935,0.0694
rna-alignment_wt-random-dif-13.rna.pre.wcnf,43.3419,43.0953,0.2699,49.0497,61.6124,61.4696,31.6943,34.0313,44.4101,0.0502,0.0502,3.3677,2.2394,6.6191,142.691,0.0502
rna-alignment_wt-random-dif-19.rna.pre.wcnf,36.1733,36.187,0.2434,44.905,40.2783,40.2115,40.9699,40.9043,27.8842,0.0419,0.0422,2.0314,1.0549,5.2026,111.425,0.0419
rna-alignment_wt-random-dif-5.rna.pre.wcnf,450.758,411.625,0.7827,224.598,209.12,209.17,227.219,203.547,1209.94,0.126,0.1262,7.5353,6.9241,21.3593,2297.94,0.126
rna-alignment_wt-random-same-10.rna.pre.wcnf,4.3118,4.4685,0.0525,12.175,4.3113,4.3135,12.5916,13.0548,3.4339,0.0159,0.0161,1.2524,0.2881,3.0743,1.7006,0.0159
rna-alignment_wt-random-same-12.rna.pre.wcnf,26.1897,26.0926,0.1894,31.0557,22.5659,22.6944,28.2691,28.2376,25.4635,0.0426,0.043,3.088,2.1734,6.3984,60.3517,0.0426
